Cow,Ingredient,AF_Qty,AF_Head,DM_fract,DM_Qty,DM_Head,Pen_old,Pen,Cow_amount,Cow_n,Year,Month,month,Days in month, Moisture, Dry_Matter, pH, CP, ADF, aNDF, Lignin, Starch, ESC(Sugar), WSC(Sugar), EE(Fat), TFA(Fat), Ash,C%,OM
dairy,KFK8-A Mix,3303,3303,0.46,1509,1509.47,D9-30-5802,D9,38,1,2018,Jan,1,31,50.24465583,49.69861817,3.575656708,9.9824015,20.00616138,29.65905554,2.525891125,36.59397792,1.021249292,1.662002083,3.452445042,2.278704917,4.515951,39.19891,85
dairy,KFK8-A Mix,3619,3619,0.46,1654,1653.88,D9-31-5417,D9,38,1,2018,Jan,1,31,50.24465583,49.69861817,3.575656708,9.9824015,20.00616138,29.65905554,2.525891125,36.59397792,1.021249292,1.662002083,3.452445042,2.278704917,4.515951,39.19891,85
dairy,KFK8-A Mix,3582,3582,0.46,1637,1636.97,D9-32-5413,D9,38,1,2018,Jan,1,31,50.24465583,49.69861817,3.575656708,9.9824015,20.00616138,29.65905554,2.525891125,36.59397792,1.021249292,1.662002083,3.452445042,2.278704917,4.515951,39.19891,85
dairy,KFK8-A Mix,3371,3371,0.46,1541,1540.55,D9-33-5249,D9,38,1,2018,Jan,1,31,50.24465583,49.69861817,3.575656708,9.9824015,20.00616138,29.65905554,2.525891125,36.59397792,1.021249292,1.662002083,3.452445042,2.278704917,4.515951,39.19891,85
dairy,KFK8-A Mix,4086,4086,0.46,1867,1867.3,D9-34-5075,D9,38,1,2018,Jan,1,31,50.24465583,49.69861817,3.575656708,9.9824015,20.00616138,29.65905554,2.525891125,36.59397792,1.021249292,1.662002083,3.452445042,2.278704917,4.515951,39.19891,85
dairy,KFK8-A Mix,3260,3260,0.46,1490,1489.82,D9-35-5863,D9,38,1,2018,Jan,1,31,50.24465583,49.69861817,3.575656708,9.9824015,20.00616138,29.65905554,2.525891125,36.59397792,1.021249292,1.662002083,3.452445042,2.278704917,4.515951,39.19891,85
dairy,KFK8-A Mix,4451,4451,0.46,2034,2034.11,D9-36-6437,D9,38,1,2018,Jan,1,31,50.24465583,49.69861817,3.575656708,9.9824015,20.00616138,29.65905554,2.525891125,36.59397792,1.021249292,1.662002083,3.452445042,2.278704917,4.515951,39.19891,85
dairy,KFK8-A Mix,4341,4341,0.46,1984,1983.84,D9-37-6881,D9,38,1,2018,Jan,1,31,50.24465583,49.69861817,3.575656708,9.9824015,20.00616138,29.65905554,2.525891125,36.59397792,1.021249292,1.662002083,3.452445042,2.278704917,4.515951,39.19891,85
dairy,UN D MX,4230,4230,0.47,1988,1988.1,D9-38-5062,D9,23,1,2018,Jan,1,31,45.28931325,54.66316675,3.34363875,16.29738425,19.692205,27.23800825,3.18118325,28.59094288,1.16225,1.8934005,3.1656715,1.9640615,5.74900375,40.59496,85
dairy,UN D MX,4277,4277,0.47,2010,2010.19,D9-39-8848,D9,23,1,2018,Jan,1,31,45.28931325,54.66316675,3.34363875,16.29738425,19.692205,27.23800825,3.18118325,28.59094288,1.16225,1.8934005,3.1656715,1.9640615,5.74900375,40.59496,85
dairy,UN D MX,3590,3590,0.47,1687,1687.3,D9-40-8855,D9,23,1,2018,Jan,1,31,45.28931325,54.66316675,3.34363875,16.29738425,19.692205,27.23800825,3.18118325,28.59094288,1.16225,1.8934005,3.1656715,1.9640615,5.74900375,40.59496,85
